Product Name,Barcode,Common Name,Packaging,Brands,Categories,Countries where sold,Nutri-Score,Nutri-Score Quality,NOVA Group,Food Processing,Eco-Score,Packaging Impact,Nutrient Levels,Ingredients,Additives,Ingredient Analysis,fat,saturated-fat,sugars,salt,Ingredient Classifications,Harmful Count,Moderate Count,Safe Count,Dietary Flags,Health Impact Score,Health Classification
orange creams - mc vitie's - 61.2g,8906033743155.0,Unknown,Unknown,Mc Vitie's,"snacks, sweet snacks, biscuits and cakes, biscuits, filled biscuits, biscuits with nuts, biscuits with cream",India,3.0,Bad nutritional quality,4.0,Ultra processed foods,2.0,,Fat in moderate quantity (15.5%); Saturated fat in high quantity (8.4%); Sugars in high quantity (34.4%); Salt in moderate quantity (0.48%),"Refined Wheat Flour Maida, Sugar, Edible Vegetable OilPalm Oil, Hydrogenated Vegetable Oil, Liquid Glucose, Starch, Invert Sugar Syrup Raising Agents INS 503, INS 500, Calcium Carbonate 06, lodised Salt, Emulsifier INS 322, INS 471, INS 472e Nature Identical Flavouring Substances And Artificial Flavouring Substances Milk, Orange Powder 01 Natural Colour S INS 1001, INS 160b And Synthetic Food Colours INS 110, INS 102",E100 - Curcumin; E102 - Tartrazine; E110 - Sunset yellow FCF; E160b - Annatto; E322 - Lecithins; E471 - Mono- and diglycerides of fatty acids; E472e - Mono- and diacetyltartaric acid esters of mono- and diglycerides of fatty acids; E500 - Sodium carbonates; E503 - Ammonium carbonates,Palm oil; Vegan status unknown; Vegetarian,,,,,"{'safe': ['refined wheat flour maida', 'edible vegetable oilpalm oil', 'hydrogenated vegetable oil', 'liquid glucose', 'starch', 'ins 500', 'calcium carbonate 06', 'emulsifier ins 322', 'ins 471', 'ins 472e nature identical flavouring substances and artificial flavouring substances milk', 'orange powder 01 natural colour s ins 1001', 'ins 160b and synthetic food colours ins 110', 'ins 102'], 'moderate': ['sugar', 'invert sugar syrup raising agents ins 503', 'lodised salt'], 'harmful': []}",0,3,13,"{'gluten-free': ['refined wheat flour maida'], 'vegan': ['ins 472e nature identical flavouring substances and artificial flavouring substances milk'], 'low sugar': ['sugar', 'invert sugar syrup raising agents ins 503']}",,Red
dream cream 20 - sunfest - 120 g,8901725012335.0,Unknown,Unknown,Sunfest,"snacks, sweet snacks, biscuits and cakes, biscuits and crackers, biscuits, filled biscuits, biscuit filled with fruit paste",India,3.0,Bad nutritional quality,4.0,Ultra processed foods,3.0,,Fat in high quantity (21.4%); Saturated fat in high quantity (10.4%); Sugars in high quantity (38.9%); Salt in low quantity (0%),"Maida Refined Wheat Flour, Sugar, Refined Palm Oil, Dextrose, Starch, Invert Syrup, Raising Agents INS 503ii, INS 500, INS 450i, Milk Solids, Artificial Flavouring Substances Vanilla, Milk, Strawberry, Raspberry, Mint, lodized Salt, Emulsifier Lecithin from Soyabean Nature Identical Flavouring Substanc  es, Acidity Regulator INS 296, Dehydrated Strawberry 002, Colours INS 102, INS 124 Contains Wheat, Milk, Soy May Contain Nut, Sulphite",E102 - Tartrazine; E124 - Ponceau 4r; E296 - Malic acid; E322 - Lecithins; E322i - Lecithin; E450 - Diphosphates; E450i - Disodium diphosphate; E500 - Sodium carbonates; E503 - Ammonium carbonates; E503ii - Ammonium hydrogen carbonate,Palm oil; Non-vegan; Vegetarian,,,,,"{'safe': ['maida refined wheat flour', 'refined palm oil', 'dextrose', 'starch', 'invert syrup', 'raising agents ins 503ii', 'ins 500', 'ins 450i', 'milk solids', 'artificial flavouring substances vanilla', 'milk', 'strawberry', 'raspberry', 'mint', 'acidity regulator ins 296', 'dehydrated strawberry 002', 'colours ins 102', 'ins 124 contains wheat', 'milk', 'soy may contain nut', 'sulphite'], 'moderate': ['sugar', 'lodized salt', 'emulsifier lecithin from soyabean nature identical flavouring substanc  es'], 'harmful': []}",0,3,21,"{'gluten-free': ['maida refined wheat flour', 'ins 124 contains wheat'], 'vegan': ['milk solids', 'milk', 'milk'], 'low sugar': ['sugar']}",,Red
hershey's exotic dark - 100g,8901071702201.0,Unknown,Unknown,Hershey's,"snacks, sweet snacks, cocoa and its products, chocolates, filled chocolates",India,3.0,Bad nutritional quality,4.0,Ultra processed foods,0.0,,Fat in moderate quantity (13.7%); Saturated fat in high quantity (8%); Sugars in high quantity (64.7%); Salt in low quantity (0.061%),"Sugar, Liquid Glucose, Cocoa Solids 13, Cocoa Butter, Fruit Pulp 56 Papaya 535, Raspberry 014, Goji 014, Stabilizers 440,414,331 iii,1400, Milk Solids, Acidity Regulator 296, Flavours Nature Identical  Artificial Flavouring Substances Raspberry, Vanilla and Green Apple, Emulsifier 322i, Edible Common Salt, Synthetic Food Colours 122,102,133 and Glazing Agent 904",E102 - Tartrazine; E122 - Azorubine; E133 - Brilliant blue FCF; E1400 - Dextrin; E296 - Malic acid; E322 - Lecithins; E331 - Sodium citrates; E414 - Acacia gum; E440 - Pectins; E904 - Shellac,Palm oil content unknown; Non-vegan; Vegetarian,,,,,"{'safe': ['liquid glucose', 'cocoa solids 13', 'cocoa butter', 'fruit pulp 56 papaya 535', 'raspberry 014', 'goji 014', 'stabilizers 440,414,331 iii,1400', 'milk solids', 'acidity regulator 296', 'flavours nature identical  artificial flavouring substances raspberry', 'vanilla and green apple', 'emulsifier 322i', 'synthetic food colours 122,102,133 and glazing agent 904'], 'moderate': ['sugar', 'edible common salt'], 'harmful': []}",0,2,13,"{'gluten-free': [], 'vegan': ['cocoa butter', 'milk solids'], 'low sugar': ['sugar']}",,Red
real fruit power mango - dabur - 1 l,8901207004391.0,Unknown,Unknown,Dabur,"beverages and beverages preparations, plant-based foods and beverages, beverages, plant-based beverages, fruit-based beverages, juices and nectars, fruit juices",India,4.0,Bad nutritional quality,4.0,Ultra processed foods,2.0,,Fat in low quantity (0%); Sugars in high quantity (14.3%); Salt in low quantity (0.00375%),"Water, Blend of Mango Pulp 25, Including Alphonso Mango Pulp 05 Sugar, Acidity Regulator INS 330, Stabilizer INS 440, Antioxidant INS 300, Flavour Nature Identical Flavouring Substances and Colour INS a 160iii THIS CONTAINS 25 MANGO JUICE CONTENT",E160a - Carotene; E160aiii - Beta-carotene from blakeslea trispora; E300 - Ascorbic acid; E330 - Citric acid; E440 - Pectins,May contain palm oil; Vegan status unknown; Vegetarian status unknown,,,,,"{'safe': ['water', 'blend of mango pulp 25', 'acidity regulator ins 330', 'stabilizer ins 440', 'antioxidant ins 300', 'flavour nature identical flavouring substances and colour ins a 160iii this contains 25 mango juice content'], 'moderate': ['including alphonso mango pulp 05 sugar'], 'harmful': []}",0,1,6,"{'gluten-free': [], 'vegan': [], 'low sugar': ['including alphonso mango pulp 05 sugar']}",,Red
peanut butter - sundrop,8901512935304.0,Unknown,Unknown,Sundrop,"plant-based foods and beverages, plant-based foods, legumes and their products, spreads, plant-based spreads, oilseed purees, legume butters, peanut butters",India,2.0,Poor nutritional quality,4.0,Ultra processed foods,2.0,,Fat in high quantity (44%); Saturated fat in high quantity (9%); Sugars in high quantity (26%); Salt in moderate quantity (0.92%),"Peanut Butter Roasted Peanuts 667, Sugar, Refined Edible Groundnut Oil, Honey 5, Stabilizer Mono and Diglycerides of Fatty Acids, Iodized Salt, Edible Molasses  Caramel IV",E471 - Mono- and diglycerides of fatty acids,May contain palm oil; Non-vegan; Vegetarian,,,,,"{'safe': ['peanut butter roasted peanuts 667', 'refined edible groundnut oil', 'honey 5', 'stabilizer mono and diglycerides of fatty acids', 'edible molasses  caramel iv'], 'moderate': ['sugar', 'iodized salt'], 'harmful': []}",0,2,5,"{'gluten-free': [], 'vegan': ['peanut butter roasted peanuts 667', 'honey 5'], 'low sugar': ['sugar']}",,Red
thick shake chocolate flavour - godrej jersey - 180 ml,8906016413112.0,Unknown,Unknown,Godrej Jersey,"beverages and beverages preparations, beverages, dairies, dairy drinks, flavoured milks, chocolate milks",India,4.0,Bad nutritional quality,4.0,Ultra processed foods,2.0,,Fat in moderate quantity (3%); Saturated fat in moderate quantity (2.4%); Sugars in high quantity (16.8%); Salt in low quantity (0.11%),"Milk solids, Sugar, Cocoa solids 14, Stabilizers and Emulsifiers INS 407, INS 412  INS 471, Sequestrants INS 331iii  INS 339ii, lodized Salt, Nature Identical Flavouring Substanca Chocolate",E331 - Sodium citrates; E331iii - Trisodium citrate; E339ii - Disodium phosphate; E407 - Carrageenan; E412 - Guar gum; E471 - Mono- and diglycerides of fatty acids,May contain palm oil; Non-vegan; Vegetarian,,,,,"{'safe': ['milk solids', 'cocoa solids 14', 'stabilizers and emulsifiers ins 407', 'ins 412  ins 471', 'sequestrants ins 331iii  ins 339ii', 'nature identical flavouring substanca chocolate'], 'moderate': ['sugar', 'lodized salt'], 'harmful': []}",0,2,6,"{'gluten-free': [], 'vegan': ['milk solids'], 'low sugar': ['sugar']}",,Red
dairy milk silk ganache - cadbury - 146 g,7622201759742.0,Unknown,Unknown,Cadbury,"snacks, sweet snacks, cocoa and its products, chocolates, milk chocolates, milk chocolate bar",India,3.0,Bad nutritional quality,4.0,Ultra processed foods,1.0,,Fat in high quantity (36.5%); Saturated fat in high quantity (25%); Sugars in high quantity (48.5%); Salt in low quantity (0.065%),"Super, Cocoa Solids, Cocoa Butter, Milk Solids 15, Emulsifier 322, Flavour Nature Identicsl Flavouring Substance",E322 - Lecithins,Palm oil content unknown; Non-vegan; Vegetarian,,,,,"{'safe': ['super', 'cocoa solids', 'cocoa butter', 'milk solids 15', 'emulsifier 322', 'flavour nature identicsl flavouring substance'], 'moderate': [], 'harmful': []}",0,0,6,"{'gluten-free': [], 'vegan': ['cocoa butter', 'milk solids 15'], 'low sugar': []}",,Red
chocolate crackle ice cream - amul - 540gm,8901262300117.0,Unknown,Unknown,Amul,"desserts, frozen foods, frozen desserts, ice creams and sorbets, ice creams, ice cream in a box",India,3.0,Missing data to compute the Nutri-Score,4.0,Ultra processed foods,4.0,,Fat in moderate quantity (14%); Saturated fat in high quantity (8.3%); Sugars in high quantity (24.4%),"Amul Real Milk Real Ice Cream milk chocolate coated cashew chikki 10 sugar, cashew pieces, milk solids, cocoa butter, cocoa solids, liquid 322,475, stabilizer 414 coa solids, cocoa butter, emulsifiers 471,476, 322, stabilizers 407, 466, 415,412",E322 - Lecithins; E407 - Carrageenan; E412 - Guar gum; E415 - Xanthan gum; E466 - Sodium carboxy methyl cellulose; E471 - Mono- and diglycerides of fatty acids; E476 - Polyglycerol polyricinoleate,Palm oil content unknown; Non-vegan; Vegetarian status unknown,,,,,"{'safe': ['cashew pieces', 'milk solids', 'cocoa butter', 'cocoa solids', 'liquid 322,475', 'stabilizer 414 coa solids', 'cocoa butter', 'emulsifiers 471,476', '322', 'stabilizers 407', '466', '415,412'], 'moderate': ['amul real milk real ice cream milk chocolate coated cashew chikki 10 sugar'], 'harmful': []}",0,1,12,"{'gluten-free': [], 'vegan': ['amul real milk real ice cream milk chocolate coated cashew chikki 10 sugar', 'milk solids', 'cocoa butter', 'cocoa butter'], 'low sugar': ['amul real milk real ice cream milk chocolate coated cashew chikki 10 sugar']}",,Red
performance whey - optimum nutrition - 1 kg,748927066012.0,Unknown,Unknown,Optimum nutrition,"dairies, whey powder",India,5.0,Very good nutritional quality,4.0,Ultra processed foods,0.0,,Fat in low quantity (2.94%); Saturated fat in low quantity (1.47%); Sugars in low quantity (2.94%); Salt in low quantity (0.00083%),"Protein Blend 91 Whey Protein Concentrate, Whey Protein Isolate Emulsifier INS 3221, Cocoa Powder Processed with Alkali, Artificial Flavours Chocolate, Butter, Cream, Cocoa, Custard, Sodium Chloride, Thickeners INS 466, INS 415, INS 407, Sweeteners INS 955, INS 950",E407 - Carrageenan; E415 - Xanthan gum; E466 - Sodium carboxy methyl cellulose; E950 - Acesulfame k; E955 - Sucralose,Palm oil content unknown; Non-vegan; Vegetarian,,,,,"{'safe': ['protein blend 91 whey protein concentrate', 'whey protein isolate emulsifier ins 3221', 'cocoa powder processed with alkali', 'artificial flavours chocolate', 'butter', 'cream', 'cocoa', 'custard', 'sodium chloride', 'thickeners ins 466', 'ins 415', 'ins 407', 'sweeteners ins 955', 'ins 950'], 'moderate': [], 'harmful': []}",0,0,14,"{'gluten-free': [], 'vegan': ['protein blend 91 whey protein concentrate', 'whey protein isolate emulsifier ins 3221', 'butter'], 'low sugar': []}",,Red
kombucha - borecha,8908013194193.0,Unknown,Unknown,Borecha,"beverages and beverages preparations, beverages, fermented foods, fermented drinks, tea-based beverages, kombuchas",India,5.0,Good nutritional quality,4.0,Ultra processed foods,3.0,,Fat in low quantity (0.2%); Saturated fat in low quantity (0%); Sugars in moderate quantity (2.5%); Salt in low quantity (0.00158%),"Kombucha Water, Live Probiotic Kombucha Culture Komagataeibacter sp A musti A tropicalis, Cane Sugar, Assam Black Tea, Darjeeling Black Teal, Natural Flavouring Substances Mango, Indian Gooseberry, Bibhitaki, Haritaki, Licorice Root, Carbon Dioxide INS 290",E290 - Carbon dioxide,Palm oil content unknown; Vegan status unknown; Vegetarian status unknown,,,,,"{'safe': ['kombucha water', 'live probiotic kombucha culture komagataeibacter sp a musti a tropicalis', 'assam black tea', 'darjeeling black teal', 'natural flavouring substances mango', 'indian gooseberry', 'bibhitaki', 'haritaki', 'licorice root', 'carbon dioxide ins 290'], 'moderate': ['cane sugar'], 'harmful': []}",0,1,10,"{'gluten-free': [], 'vegan': [], 'low sugar': ['cane sugar']}",,Red
vanilla ice cream - hf super,8906021401067.0,Unknown,Unknown,HF Super,"desserts, frozen foods, frozen desserts, ice creams and sorbets, ice creams, milk solids",India,3.0,Poor nutritional quality,4.0,Ultra processed foods,4.0,,Fat in moderate quantity (10%); Saturated fat in high quantity (6.4%); Sugars in high quantity (21.1%); Salt in low quantity (0.163%),"Milk Solids, Sugar, Permitted Emulsifier INS471 and Stabilizers INS407, INS410, INS412  INS 466",E407 - Carrageenan; E410 - Locust bean gum; E412 - Guar gum; E466 - Sodium carboxy methyl cellulose; E471 - Mono- and diglycerides of fatty acids,May contain palm oil; Non-vegan; Vegetarian,,,,,"{'safe': ['milk solids', 'permitted emulsifier ins471 and stabilizers ins407', 'ins410', 'ins412  ins 466'], 'moderate': ['sugar'], 'harmful': []}",0,1,4,"{'gluten-free': [], 'vegan': ['milk solids'], 'low sugar': ['sugar']}",,Red
d-lite tomato ketchup - surabhi - 1kg,8906006783058.0,Unknown,Unknown,Surabhi,"condiments, sauces, tomato sauces, ketchup, tomato ketchup",India,1.0,Bad nutritional quality,4.0,Ultra processed foods,4.0,,Fat in low quantity (0.49%); Saturated fat in low quantity (0.09%); Sugars in high quantity (32.2%); Salt in high quantity (2.04%),"Tomato Puree 57, Water, Sugar, Liquid Glucose, lodized Salt, Starch, Emulsifying  Stabilizing Agent INS 1422, INS 415, Acidity Regulator INS 260, Spices  Condiments, Preservative INS 211 CONTAINS PERMITTED CLASS II PRESERVATIVE INS 211 Allergen Instruction This product was processed on machinery and in a plant that also processes Wheat, Soya, Milk Solids, Mustard, Tree Nuts and Sesame Seeds",E1422 - Acetylated distarch adipate; E211 - Sodium benzoate; E260 - Acetic acid; E415 - Xanthan gum,Palm oil free; Non-vegan; Vegetarian status unknown,,,,,"{'safe': ['tomato puree 57', 'water', 'liquid glucose', 'starch', 'emulsifying  stabilizing agent ins 1422', 'ins 415', 'acidity regulator ins 260', 'spices  condiments', 'preservative ins 211 contains permitted class ii preservative ins 211 allergen instruction this product was processed on machinery and in a plant that also processes wheat', 'soya', 'milk solids', 'mustard', 'tree nuts and sesame seeds'], 'moderate': ['sugar', 'lodized salt'], 'harmful': []}",0,2,13,"{'gluten-free': ['preservative ins 211 contains permitted class ii preservative ins 211 allergen instruction this product was processed on machinery and in a plant that also processes wheat'], 'vegan': ['milk solids'], 'low sugar': ['sugar']}",,Red
oats muesli fruit & nut - pepsico - 160g,8901491002820.0,Unknown,Unknown,"Pepsico, Quaker","plant-based foods and beverages, plant-based foods, breakfasts, cereals and potatoes, cereals and their products, breakfast cereals, mueslis",India,2.0,Poor nutritional quality,4.0,Ultra processed foods,3.0,,Fat in moderate quantity (12%); Saturated fat in moderate quantity (3%); Sugars in high quantity (21%); Salt in moderate quantity (0.59%),"Multigrain 55 Rolled Oat 26, Rice  Rice Flour 14, Corn Grit  Flour 7, Rolled Barley 5, Wheat 3, Refined Wheat Flour Maida 14, Candied  Dry Fruit and Nut  Seed 22 Raisin 10, Candied Papaya 5, Almond 4, Pumpkin Seed 3, Sugar, Palmolein Oil, Maltodextrin, Invert Syrup, Stabiliser 1422, 170i, 322, Liquid Glucose, lodised Salt, Cereal Extract Flavour Natural and Nature Identical Flavouring Substances, Colour 150d, Antioxidant 307b",E1422 - Acetylated distarch adipate; E150d - Sulphite ammonia caramel; E170 - Calcium carbonates; E170i - Calcium carbonate; E307b - Concentrated tocopherol; E322 - Lecithins,Palm oil; Vegan status unknown; Vegetarian status unknown,,,,,"{'safe': ['multigrain 55 rolled oat 26', 'rice  rice flour 14', 'corn grit  flour 7', 'rolled barley 5', 'wheat 3', 'refined wheat flour maida 14', 'candied  dry fruit and nut  seed 22 raisin 10', 'candied papaya 5', 'almond 4', 'pumpkin seed 3', 'palmolein oil', 'maltodextrin', 'invert syrup', 'stabiliser 1422', '170i', '322', 'liquid glucose', 'cereal extract flavour natural and nature identical flavouring substances', 'colour 150d', 'antioxidant 307b'], 'moderate': ['sugar', 'lodised salt'], 'harmful': []}",0,2,20,"{'gluten-free': ['rolled barley 5', 'wheat 3', 'refined wheat flour maida 14', 'maltodextrin'], 'vegan': [], 'low sugar': ['sugar']}",,Red
kulfi - the brooklyn creamery,4906400744024.0,Unknown,Unknown,The Brooklyn Creamery,"desserts, frozen foods, frozen desserts, ice creams and sorbets, ice creams",India,5.0,Very good nutritional quality,4.0,Ultra processed foods,4.0,,Fat in moderate quantity (3.2%); Saturated fat in moderate quantity (1.6%); Sugars in low quantity (3.1%); Salt in low quantity (0.0793%),"Water, Milk Solids, Sweetener Maltitol, Fructose Oligo Saccharide, Caramel Confectionery, Water, Sweetener Maltitol, Milk Solids, Fructose Oligo Saccharide, Stabilizers 440, Acidity Regulators 331,500, Pistachio, Cardamom Powder, Stabilizers 410, 412, Emulsifiers 471, 477, CONTAINS PERMITTED NATURAL FOOD COLORS 160b, 150c AND ADDED ARTIFICIAL FLAVORING SUBSTANCES KULFI, CONDENSED MILK, ROSE",E150 - Caramel; E160 - Carotenoids; E331 - Sodium citrates; E410 - Locust bean gum; E412 - Guar gum; E440 - Pectins; E471 - Mono- and diglycerides of fatty acids; E477 - Propane-1‚2-diol esters of fatty acids; E500 - Sodium carbonates; E965 - Maltitol,Palm oil content unknown; Non-vegan; Vegetarian,,,,,"{'safe': ['water', 'milk solids', 'sweetener maltitol', 'fructose oligo saccharide', 'caramel confectionery', 'water', 'sweetener maltitol', 'milk solids', 'fructose oligo saccharide', 'stabilizers 440', 'acidity regulators 331,500', 'pistachio', 'cardamom powder', 'stabilizers 410', '412', 'emulsifiers 471', '477', 'contains permitted natural food colors 160b', '150c and added artificial flavoring substances kulfi', 'condensed milk', 'rose'], 'moderate': [], 'harmful': []}",0,0,21,"{'gluten-free': ['sweetener maltitol', 'sweetener maltitol'], 'vegan': ['milk solids', 'milk solids', 'condensed milk'], 'low sugar': []}",,Red
wafer chocolate - bisk farm,8906017862438.0,Unknown,Unknown,BISK FARM,"snacks, sweet snacks, biscuits and cakes, biscuits, wafers",India,3.0,Missing data to compute the Nutri-Score,4.0,Ultra processed foods,3.0,,Fat in high quantity (29.1%); Saturated fat in high quantity (18.6%); Sugars in high quantity (32.5%),"WHEAT FLOUR, SUGAR, EDIBLE VEGETABLE FAT, DEXTROSE EDIBLE STARCHES, MILK SOLIDS, COCOA POWDER, SALT, EMULSIFIER 322 LEAVENING AGENTS 500ii, 503 ii, FLAVOUR ENHANCER 637, ENZYMES AND ANTIOXIDANT 319 CONTAINS ADDED ARTIFICIAL FLAVOURING SUBSTANCES MILK, CHOCOLATE, VANILLA THIS PRODUCT CONTAINS WHEAT  MILK HYPERSENSITIVE INGREDIENTS",E322 - Lecithins; E500 - Sodium carbonates; E503 - Ammonium carbonates; E637 - Ethyl maltol,May contain palm oil; Non-vegan; Vegetarian status unknown,,,,,"{'safe': ['wheat flour', 'edible vegetable fat', 'dextrose edible starches', 'milk solids', 'cocoa powder', 'emulsifier 322 leavening agents 500ii', '503 ii', 'flavour enhancer 637', 'enzymes and antioxidant 319 contains added artificial flavouring substances milk', 'chocolate', 'vanilla this product contains wheat  milk hypersensitive ingredients'], 'moderate': ['sugar', 'salt'], 'harmful': []}",0,2,11,"{'gluten-free': ['wheat flour', 'vanilla this product contains wheat  milk hypersensitive ingredients'], 'vegan': ['milk solids', 'enzymes and antioxidant 319 contains added artificial flavouring substances milk', 'vanilla this product contains wheat  milk hypersensitive ingredients'], 'low sugar': ['sugar']}",,Red
whey - gold standard - 2.5kg,748927066692.0,Unknown,Unknown,Gold Standard,"dairies, whey powder",India,5.0,Missing data to compute the Nutri-Score,4.0,Ultra processed foods,0.0,,Fat in moderate quantity (3.29%); Saturated fat in moderate quantity (1.64%); Salt in moderate quantity (0.411%),"Protein Blend 93 Whey Protein Isolate, Whey Protein Concentrate, Hydrolysed Whey Protein Emulsifier INS 3221, Cocoa Powder Processed With Alkali, Artificial Flavours Chocolate, Vanilla, Sweetener INS 950",E950 - Acesulfame k,Palm oil content unknown; Non-vegan; Vegetarian,,,,,"{'safe': ['protein blend 93 whey protein isolate', 'whey protein concentrate', 'hydrolysed whey protein emulsifier ins 3221', 'cocoa powder processed with alkali', 'artificial flavours chocolate', 'vanilla', 'sweetener ins 950'], 'moderate': [], 'harmful': []}",0,0,7,"{'gluten-free': [], 'vegan': ['protein blend 93 whey protein isolate', 'whey protein concentrate', 'hydrolysed whey protein emulsifier ins 3221'], 'low sugar': []}",,Red
pitted prunes - n2h,8904226700688.0,Unknown,Unknown,N2H,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, fruits based foods, dried products, dried plant-based foods, dried fruits, dried prunes, pitted prunes",India,3.0,Missing data to compute the Nutri-Score,3.0,Processed foods,1.0,,Fat in low quantity (0.28%); Sugars in high quantity (36.4%),"Pitted Prunes, Potassium Sorbate E202 as preservatives",E202 - Potassium sorbate,Palm oil free; Vegan; Vegetarian,,,,,"{'safe': ['pitted prunes'], 'moderate': [], 'harmful': ['potassium sorbate e202 as preservatives']}",1,0,1,"{'gluten-free': [], 'vegan': [], 'low sugar': []}",,Red
keto dark chocolate - lo! - 40 g,8906112993228.0,Unknown,Unknown,Lo!,"snacks, sweet snacks, cocoa and its products, chocolates, dark chocolates, keto chocolate",India,5.0,Poor nutritional quality,4.0,Ultra processed foods,1.0,,Fat in high quantity (38%); Saturated fat in high quantity (32%); Sugars in low quantity (1%); Salt in low quantity (0.02%),"Maltitol, Vegetable Fat, Cocoa Powder, Soy Lecithin, Vanillin",E322 - Lecithins; E322i - Lecithin; E965 - Maltitol,May contain palm oil; Vegan status unknown; Vegetarian status unknown,,,,,"{'safe': ['maltitol', 'vegetable fat', 'cocoa powder', 'vanillin'], 'moderate': ['soy lecithin'], 'harmful': []}",0,1,4,"{'gluten-free': ['maltitol'], 'vegan': [], 'low sugar': []}",,Red
digestive - sunfeast - 800g,8901725015565.0,Unknown,Unknown,"Sunfeast, Farmlite","snacks, sweet snacks, biscuits and cakes, biscuits",India,2.0,Bad nutritional quality,4.0,Ultra processed foods,3.0,,Fat in high quantity (20.2%); Saturated fat in high quantity (10.1%); Sugars in high quantity (16.3%); Salt in moderate quantity (1.13%),"Refined Wheat flour Maida 352, Refined Palm Oil, Wheat flour Atta 184, Sugar, Wheat Bran 43, Liquid glucose, Raising agents INS 500ii, INS 503, INS 4501, Maltodextrin, Milk solids, iodized Salt, Emulsifiers Lecithin Energyfrom Soyabean, Diacetyltartaric and fatty Protein  acid esters of glycerol from sunflower oil  palm oil, Mono   diglycerides of fatty acids from palm oil, Malt Extract 02, Nature identical flavouring substances, Wheat fibre 003, Flour treatment agent INS 223 and Artificial flavouring Vanilla",E223 - Sodium metabisulphite; E422 - Glycerol; E450 - Diphosphates; E471 - Mono- and diglycerides of fatty acids; E500 - Sodium carbonates; E500ii - Sodium hydrogen carbonate; E503 - Ammonium carbonates,Palm oil; Non-vegan; Vegetarian,,,,,"{'safe': ['refined wheat flour maida 352', 'refined palm oil', 'wheat flour atta 184', 'wheat bran 43', 'liquid glucose', 'raising agents ins 500ii', 'ins 503', 'ins 4501', 'maltodextrin', 'milk solids', 'diacetyltartaric and fatty protein  acid esters of glycerol from sunflower oil  palm oil', 'mono   diglycerides of fatty acids from palm oil', 'malt extract 02', 'nature identical flavouring substances', 'wheat fibre 003', 'flour treatment agent ins 223 and artificial flavouring vanilla'], 'moderate': ['sugar', 'iodized salt', 'emulsifiers lecithin energyfrom soyabean'], 'harmful': []}",0,3,16,"{'gluten-free': ['refined wheat flour maida 352', 'wheat flour atta 184', 'wheat bran 43', 'maltodextrin', 'malt extract 02', 'wheat fibre 003'], 'vegan': ['milk solids'], 'low sugar': ['sugar']}",,Red
britannia nutri choice oats - 75 g,8901063142114.0,Unknown,Unknown,Britannia,"snacks, sweet snacks, biscuits and cakes, biscuits",India,4.0,Poor nutritional quality,4.0,Ultra processed foods,3.0,,Fat in high quantity (21%); Saturated fat in high quantity (8.6%); Sugars in high quantity (19.5%); Salt in moderate quantity (0.385%),"WHEAT FLOUR ATTA 417, SUGAR, REFINED PALM OIL, ROLLED DATS 143, ALMONDS 5, LIQUID GLUCOSE, WHEAT BRAN 24, MALTODEXTRIN, RAISING AGENTS 500ii, 503ii  450i, MILK SOLIDS 16, INVERT SUGAR SYRUP, DATS FIBRE 08, EMULSIFIERS 322i, 471  472e, FLAVOURS ARTIFICIAL MILK  BUTTER, NATURAL  NATURE IDENTICAL FLAVOURING SUBSTANCES, IODISED SALT AND COLOUR 150d Numbers in brackets as per International Numbering System CONTAINS WHEAT, OATS, NUTS, MILK AND SOYA",E150d - Sulphite ammonia caramel; E322 - Lecithins; E450 - Diphosphates; E472e - Mono- and diacetyltartaric acid esters of mono- and diglycerides of fatty acids; E500 - Sodium carbonates; E503 - Ammonium carbonates,Palm oil; Non-vegan; Vegetarian status unknown,,,,,"{'safe': ['wheat flour atta 417', 'refined palm oil', 'rolled dats 143', 'almonds 5', 'liquid glucose', 'wheat bran 24', 'maltodextrin', 'raising agents 500ii', '503ii  450i', 'milk solids 16', 'dats fibre 08', 'emulsifiers 322i', '471  472e', 'flavours artificial milk  butter', 'natural  nature identical flavouring substances', 'oats', 'nuts', 'milk and soya'], 'moderate': ['sugar', 'invert sugar syrup', 'iodised salt and colour 150d numbers in brackets as per international numbering system contains wheat'], 'harmful': []}",0,3,18,"{'gluten-free': ['wheat flour atta 417', 'wheat bran 24', 'maltodextrin', 'iodised salt and colour 150d numbers in brackets as per international numbering system contains wheat'], 'vegan': ['milk solids 16', 'flavours artificial milk  butter', 'milk and soya'], 'low sugar': ['sugar', 'invert sugar syrup']}",,Red
