Product Name,Barcode,Common Name,Brands,Categories,Nutri-Score,Nutri-Score Quality,NOVA Group,Food Processing,Eco-Score,Nutrient Levels,Ingredients,Additives,Ingredient Analysis
Ragi Flour - GoodLife - 1kg,8902901225914.0,Unknown,GoodLife,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Seeds, Cereals and their products, Cereal grains, Millet, Finger Millet, Ragi Flour",Nutri-Score unknown,Missing data to compute the Nutri-Score,NOVA not computed,Food processing level unknown,Eco-Score not computed,Fat in moderate quantity (18%); Saturated fat in low quantity (0.3%); Salt in low quantity (0.0118%),ragi flour,,Palm oil content unknown; Vegan status unknown; Vegetarian
8901262071611,8901262071611.0,Unknown,Unknown,Chocolate almonds,Nutri-Score unknown,Missing data to compute the Nutri-Score,NOVA 1,Unprocessed or minimally processed foods,Eco-Score not computed,Fat in high quantity (40.8%); Saturated fat in high quantity (11.2%); Sugars in high quantity (30.9%),almonds,,Palm oil free; Vegan; Vegetarian
Max Protein by RiteBite - 50g,4906409532363.0,Unknown,RiteBite,"Dietary supplements, Bodybuilding supplements, Protein bars",Nutri-Score unknown,Missing data to compute the Nutri-Score,NOVA 4,Ultra processed foods,Eco-Score not computed,Not Available,"protein blend  calcium caseinate, soy concentrate, dietary fir sacharide, chicory root fiber, dark compound maltitol, edible vegetable fat hydrogenated, c emulsifier soy lecithin, maltitol, cranberries  edible vegetable oil high oleic sunflower oil, s no added sugar, whole grain rolled oats humectant glycerine, flaxseeds, tribasic calc soy lecithin, soy protein isolate, binding agen acid, antioxidants vitamin c, added vitamins contains added flavours natural and n vanilla  strawberry flavour",['e322 - lecithins; e322i - lecithin; e422 - glycerol; e965 - maltitol'],May contain palm oil; Non-vegan; Vegetarian status unknown
Dairy Milk Silk Hazelnut - Cadbury - 58g,7622201761738.0,Unknown,Cadbury,"Snacks, Sweet snacks, Cocoa and its products, Chocolates",Nutri-Score E,Bad nutritional quality,NOVA 4,Ultra processed foods,Eco-Score not computed,Fat in high quantity (36.8%); Saturated fat in high quantity (19.2%); Sugars in high quantity (46.6%); Salt in low quantity (0.104%),"sugar, milk solids , hazelnuts , cocoa butter, cocoa solids, emulsifiers , , flavours natural, nature identical and artificial vanilla flavouring substances",['e442 - ammonium phosphatides; e476 - polyglycerol polyricinoleate'],Palm oil content unknown; Non-vegan; Vegetarian
Idli Karam Podi - MTR - 100g,8901042971155.0,Unknown,MTR,Condiments,Nutri-Score E,Bad nutritional quality,NOVA 4,Ultra processed foods,Eco-Score not computed,Fat in moderate quantity (12.2%); Saturated fat in moderate quantity (3.5%); Sugars in high quantity (13.7%); Salt in high quantity (8.79%),"red chilli , blackgram splits , bengalgram splits , coriander , lodised low sodium salt, tamarind concentrate , refined palmolein oil, cumin, garlic powder , curry leaf powder, lodised salt, jaggery, natural flavouring substances, anticaking agent ins , acidity regulator ins  and asafoetida",['e334 - l(+)-tartaric acid; e551 - silicon dioxide'],Palm oil; Vegan status unknown; Vegetarian
Active Jeera - Gas-O-Fast - 30g,8904103336306.0,Unknown,Gas-O-Fast,Unknown,Nutri-Score unknown,Missing data to compute the Nutri-Score,NOVA not computed,Food processing level unknown,Eco-Score not computed,Not Available,"each  g sachet contains svarjiksara shudh g, nimbukamlam shushkam  g, jeera seeds  mg, contains permitted sweetener, saccharin sodium mgg,black salt",,Palm oil content unknown; Vegan status unknown; Vegetarian status unknown
Sunfeast glucose plus+ - 1kg,8901725000295.0,Unknown,Sunfeast,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits",Nutri-Score E,Bad nutritional quality,NOVA 4,Ultra processed foods,Eco-Score D,Fat in moderate quantity (10.6%); Saturated fat in high quantity (5.3%); Sugars in high quantity (27.7%); Salt in moderate quantity (1.05%),"refined wheat flour maida , sugar, refined palm oil, invert syrup, raising agents ins ii, ins ii, iodized salt, liquid glucose , milk solids , emulsifiers lecithin from soyabean, diacetyl tartaric acid ester of monodiglycerides from sunflower  palm oil, artificial flavouring substances vanilla, cream, milk, sweet, vitamin  mineral  and flour treatment agent ins  and colours ins , ins  contains wheat, milk, soy, sulphites, may contains nuts",['e102 - tartrazine; e124 - ponceau 4r; e223 - sodium metabisulphite; e322 - lecithins; e322i - lecithin; e500 - sodium carbonates; e500ii - sodium hydrogen carbonate; e503 - ammonium carbonates; e503ii - ammonium hydrogen carbonate'],Palm oil; Non-vegan; Vegetarian
7622202031205,7622202031205.0,Unknown,Unknown,"Snacks, Sweet snacks, Cocoa and its products, Confectioneries, Chocolate candies, Sweet pastries and pies, Bonbons, Chocolates, Viennoiseries, Brioches, Brioche filled with chocolate drops",Nutri-Score unknown,Missing data to compute the Nutri-Score,NOVA 4,Ultra processed foods,Eco-Score C,Not Available,"sugar, hydrogenated oils, cocoa solids  , lactoserich deproteinized whey permeate powder, milk solids, refined wheat flour maida, emulsifiers , , , colours , , , , , , , , glazing agent , liquid glucose, flavours natural, nature identical and artificial caramel and vanilla flavouring substances",['e102 - tartrazine; e110 - sunset yellow fcf; e122 - azorubine; e124 - ponceau 4r; e127 - erythrosine; e132 - indigotine; e133 - brilliant blue fcf; e171 - titanium dioxide; e414 - acacia gum; e442 - ammonium phosphatides; e476 - polyglycerol polyricinoleate; e903 - carnauba wax'],May contain palm oil; Non-vegan; Vegetarian status unknown
Double Toned Milk - Nandini,8906036675248.0,Unknown,Nandini,"Dairies, Milks",Nutri-Score B,Good nutritional quality,NOVA 1,Unprocessed or minimally processed foods,Eco-Score D,Fat in low quantity (1.3%); Saturated fat in low quantity (0.8%); Sugars in moderate quantity (5.1%); Salt in low quantity (0.125%),"milk solids, vitamin a  vitamin d milk fat  min, milk snf , min",,Palm oil content unknown; Non-vegan; Vegetarian
tomato sauce - my fresh,8942152112540.0,Unknown,my fresh,"Condiments, Sauces, Tomato sauces, Ketchup, Tomato Ketchup",Nutri-Score unknown,Missing data to compute the Nutri-Score,NOVA 4,Ultra processed foods,Eco-Score B,Fat in low quantity (0.25%); Sugars in high quantity (21.2%),"tomato paste , vegetable pulp, sugar, water, lodized salt, onion powder, garlic powder, red chilli powder, spices  condiments, acidity regulator , thickeners ,   preservative",['e211 - sodium benzoate; e260 - acetic acid; e401 - sodium alginate; e415 - xanthan gum'],Palm oil content unknown; Vegan status unknown; Vegetarian
Choco Kiss Cookies - Unibic - 75g,8906009077581.0,Unknown,Unibic,Unknown,Nutri-Score unknown,Missing data to compute the Nutri-Score,NOVA 4,Ultra processed foods,Eco-Score not computed,Not Available,"choco cream  sugar, vegetable fat, cocoa solids, emulsifiers e from soya, refined wheat flour maida, sugar, edible vegetable oil palm, milk solids, golden syrup, cocoa powder, emulsifier e from soya, leavening agents e ii, e ii, salt contains added artificial flavour vanillin allergen advice contains gluten, milk and soya may contain traces of nuts",['e322 - lecithins; e500 - sodium carbonates; e500ii - sodium hydrogen carbonate; e503 - ammonium carbonates; e503ii - ammonium hydrogen carbonate'],Palm oil; Non-vegan; Vegetarian status unknown
White Label Sugar - Parry's - 1 kg,8906009011301.0,Sugar,Parry's,"Sweeteners, Sugars",Nutri-Score unknown,Missing data to compute the Nutri-Score,NOVA 2,Processed culinary ingredients,Eco-Score B,Fat in low quantity (0%); Saturated fat in low quantity (0%); Sugars in high quantity (100%); Salt in low quantity (0%),sugar,,Palm oil free; Vegan; Vegetarian
Black Pepper - Zoff - 50g,8906097402180.0,Unknown,Zoff,"Plant-based foods and beverages, Plant-based foods, Condiments, Spices, Peppers, Peppercorns, Black peppers, Black peppercorns",Nutri-Score not-applicable,Not-applicable for the category,NOVA 1,Unprocessed or minimally processed foods,Eco-Score E,Not Available,black pepper,,Palm oil free; Vegan; Vegetarian
Tropicana Cranberry Delight - 1 L,8902080013845.0,Unknown,Tropicana,"Plant-based foods and beverages, Beverages, Plant-based beverages, Fruit-based beverages, Juices and nectars, Fruit juices, Cranberry juices",Nutri-Score E,Bad nutritional quality,NOVA 4,Ultra processed foods,Eco-Score E,Fat in low quantity (0%); Saturated fat in low quantity (0%); Sugars in high quantity (10.5%); Salt in low quantity (0.065%),"water, sugar, concentrated juices cranberry , apple  , red grape , pomegranate, flavour natural and nature identical flavouring substances, iodised salt acidity regulator , sweetener a  fruit juice of cranberry, apple, red grape  pomegranate in reconstituted beverage",['e296 - malic acid; e960a - steviol glycosides from stevia'],Palm oil content unknown; Vegan status unknown; Vegetarian status unknown
Mini Swiss Roll - Winkies - 25g,8906005618634.0,Unknown,Winkies,"Snacks, Sweet snacks, Biscuits and cakes, Cakes, Swiss roll",Nutri-Score E,Bad nutritional quality,NOVA 4,Ultra processed foods,Eco-Score not computed,Fat in moderate quantity (9.58%); Saturated fat in moderate quantity (2.47%); Sugars in high quantity (43.1%); Salt in moderate quantity (0.307%),"cake  refined wheat flour maida, eggs, sugar, water, invert syrup, liquid glucose, dextrose, cake gelins , ins , ins , ins , humectant ins , palmolein, milk solids, emulsifiers ins , ins , ins , ins  ii, raising agents ins  i, ins  ii, palm oil, edible common salt, flavour artificial flavouring substances  vanilla, acidity regulator ins , preservatives ins , ins , stabilizerins , corn flour filling  red fruit preparation  glucosefructose syrup, sugar, strawberry puree , raspberry puree , red currant puree , gelling agentins , acidity regulatorins , concentrated black carrot juice, bakery shortening, liquid glucose, dextrose, sugar, invert syrup, humectant ins , cake gelins , ins , ins , ins , edible common salt, preservative ins , ins , acidity regulatorins , flavour artificial flavouring substances  vanilla, colour ins c numbers in brackets as per international numbering system contains wheat, milk, soy and egg ingredients",['e150c - ammonia caramel; e1520 - propylene glycol; e200 - sorbic acid; e260 - acetic acid; e282 - calcium propionate; e296 - malic acid; e304 - fatty acid esters of ascorbic acid; e304ii - ascorbyl stearate; e322 - lecithins; e330 - citric acid; e412 - guar gum; e422 - glycerol; e440 - pectins; e450 - diphosphates; e450i - disodium diphosphate; e471 - mono- and diglycerides of fatty acids; e477 - propane-1‚2-diol esters of fatty acids; e500 - sodium carbonates; e500ii - sodium hydrogen carbonate'],Palm oil; Non-vegan; Vegetarian status unknown
Pepsi - Pepsi Cola - 400ml,8902080104581.0,Unknown,Pepsi Cola,"Beverages, Carbonated drinks, Waters, Artificially sweetened beverages, Sodas, Diet beverages, Carbonated soft drinks without fruit juice, Carbonated waters, Colas, Diet sodas, Cola with sugar, Diet cola soft drink",Nutri-Score E,Bad nutritional quality,NOVA 3,Processed foods,Eco-Score not yet applicable,Fat in low quantity (0%); Saturated fat in low quantity (0%); Sugars in high quantity (10.9%); Salt in low quantity (0.0075%),contains caffeine,,Palm oil free; Vegan; Vegetarian
Corn Flour - Mr.Kool,8906012651228.0,Unknown,Mr.Kool,Unknown,Nutri-Score unknown,Missing data to compute the Nutri-Score,NOVA not computed,Food processing level unknown,Eco-Score not computed,Not Available,edible corn starch,,Palm oil free; Vegan; Vegetarian
Gold Milky Milk - Amul,8901262260114.0,Unknown,Amul,Dairies,Nutri-Score C,Average nutritional quality,NOVA 1,Unprocessed or minimally processed foods,Eco-Score not computed,Fat in moderate quantity (6%); Saturated fat in moderate quantity (3.8%); Sugars in moderate quantity (5%); Salt in low quantity (0.105%),milk,,Palm oil free; Non-vegan; Vegetarian
Snacks Dressing - Funtrip - 8g,8906133800147.0,Unknown,Funtrip,"Condiments, Sauces, Tomato sauces, Ketchup, Tomato Ketchup",Nutri-Score E,Bad nutritional quality,NOVA 4,Ultra processed foods,Eco-Score B,Fat in low quantity (0%); Saturated fat in low quantity (0%); Sugars in high quantity (22.4%); Salt in high quantity (2.73%),"water, vegetable pulp, sugar, tomato paste, emulsifiers and stabilizers ins , ins, lodized salt, acidity regulator ins, onion powder, garlic powder, red chilli powder, spices and condiments contains permitted class ii preservative ins contains added flavours natureidentical flavouring substances",['e1422 - acetylated distarch adipate; e211 - sodium benzoate; e260 - acetic acid; e415 - xanthan gum'],Palm oil free; Vegan status unknown; Vegetarian
Barley - GoodLife - 200g,8902901062281.0,Unknown,GoodLife,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Seeds, Cereals and their products, Cereal grains, Barley",Nutri-Score unknown,Missing data to compute the Nutri-Score,NOVA 1,Unprocessed or minimally processed foods,Eco-Score not computed,Not Available,barley,,Palm oil free; Vegan; Vegetarian
Lite Chiwda - BABU - 250g,8908018963206.0,Unknown,"BABU, Laxminarayan",Snacks,Nutri-Score E,Bad nutritional quality,NOVA 3,Processed foods,Eco-Score not computed,Fat in high quantity (40.8%); Saturated fat in high quantity (8.86%); Sugars in low quantity (2.2%); Salt in high quantity (1.57%),"riceflakes, refined groundnut oil, sugar, vanaspati, gram flour, asafoetida, dry mango powder, iodised salt",,Palm oil content unknown; Vegan status unknown; Vegetarian
Choco Fills - Dark Fantasy,961475015275.0,Unknown,"Dark Fantasy, Sunfeast","Snacks, Sweet snacks, Biscuits and cakes, Biscuits, Chocolate biscuits, Drop cookies, Filled biscuits, Chocolate chip cookies, Biscuit (cookie) snack w chocolate filling, Cookies with milk chocolate",Nutri-Score E,Bad nutritional quality,NOVA 4,Ultra processed foods,Eco-Score D,Fat in high quantity (26.5%); Saturated fat in high quantity (12.9%); Sugars in high quantity (34.4%); Salt in moderate quantity (0.416%),"choco crme  sugar, refined palmolein, refined palm oil, cocoa solids, emulsifier lecithin from soyabean, nature identical flavouring substances chocolate and artificial flavouring substances vanilla, refined wheat flour maida, hydrogenated vegetable oils, sugar, invert syrup, liquid glucose, raising agents ins ii, ins ii, ins i, cocoa solids , butter, milk solids, iodized salt, nature identical flavouring substances milk chocolate, colours ins c, ins d, emulsifiers lecithin from soyabean, monoand diglycerides of fatty acids from palm oil and artificial flavouring substances milk, vanilla",['e150c - ammonia caramel; e150d - sulphite ammonia caramel; e322 - lecithins; e322i - lecithin; e450 - diphosphates; e450i - disodium diphosphate; e471 - mono- and diglycerides of fatty acids; e500 - sodium carbonates; e500ii - sodium hydrogen carbonate; e503 - ammonium carbonates; e503ii - ammonium hydrogen carbonate'],Palm oil; Non-vegan; Vegetarian
3 Roses Tea - Brooke Bond - 100g,8901030985812.0,Unknown,Brooke Bond,"Plant-based foods and beverages, Beverages, Hot beverages, Plant-based beverages, Teas",Nutri-Score B,Good nutritional quality,NOVA 1,Unprocessed or minimally processed foods,Eco-Score B,Not Available,tea,,Palm oil free; Vegan; Vegetarian
Garlic Chilli Crisp - Master Chow,8908016793799.0,Unknown,Master Chow,Condiments,Nutri-Score unknown,Missing data to compute the Nutri-Score,NOVA 3,Processed foods,Eco-Score not computed,Fat in high quantity (50%); Sugars in moderate quantity (12.5%),"sunflower oil, chillies, onion, garlic, celery, sugar, salt, fried garlic, fried onion roasted peanuts, cinnamon, sichuan pepper corn, bay leaf, star anise, soy sauce",,Palm oil free; Vegan status unknown; Vegetarian
Sunrise - Nestlé - 95g,8901058904192.0,Unknown,Nestlé,"Plant-based foods and beverages, Plant-based foods, Coffees",Nutri-Score B,Good nutritional quality,NOVA 1,Unprocessed or minimally processed foods,Eco-Score not computed,Not Available,coffee beans   chicory,,Palm oil free; Vegan; Vegetarian
Garlic - - 100g,8904293703292.0,Unknown,Unknown,"Plant-based foods and beverages, Plant-based foods, Fruits and vegetables based foods, Condiments, Vegetables based foods, Culinary plants, Garlic and their products, Garlic",Nutri-Score A,Very good nutritional quality,NOVA 1,Unprocessed or minimally processed foods,Eco-Score B,Not Available,garlic,,Palm oil free; Vegan; Vegetarian
Eggless Cake Rusk - Pankaj's,8904097150445.0,Unknown,Pankaj's,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads, Rusks",Nutri-Score unknown,Missing data to compute the Nutri-Score,NOVA 4,Ultra processed foods,Eco-Score B,Not Available,"refined wheat flour, bakery shortening, edible vegetable oil palmolein oil, candied fruits cuts , whey protein concentrate , skimmed milk powder, iodized salt, raising agents ins  ii, ins  ii and class i preservative contains added permitted natural  synthetic food en colours ,  and added artificial flavouring pro substance mix fruit",['e140 - chlorophylls and chlorophyllins; e341 - calcium phosphates; e341ii - dicalcium phosphate; e500 - sodium carbonates; e500ii - sodium hydrogen carbonate'],Palm oil; Non-vegan; Vegetarian
Ensure Diabetes Care Vanilla Delight flavour - Abbott - 400g,8904145912315.0,Unknown,Abbott,Beverages and beverages preparations,Nutri-Score D,Poor nutritional quality,NOVA 4,Ultra processed foods,Eco-Score not computed,Fat in moderate quantity (14.6%); Saturated fat in moderate quantity (3%); Sugars in moderate quantity (12%); Salt in moderate quantity (0.81%),"maltodextrin, calcium caseinate, edible vegetable oils high oleic sunflower oil, soy oil, fructose, minerals fructooligosaccharide fos , soy polysaccharide, flavorings artificial flavoring substances  vanilla, vitamins, minositol, antioxidants soy lecithin, mixed tocopherols, taurine, lcarnitine, sucralose",['e306 - tocopherol-rich extract; e322 - lecithins; e322i - lecithin; e955 - sucralose'],Palm oil free; Non-vegan; Vegetarian
Marie Light - Sunfeast - 200g,8901725013042.0,Unknown,Sunfeast,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits",Nutri-Score E,Bad nutritional quality,NOVA 4,Ultra processed foods,Eco-Score C,Fat in moderate quantity (13%); Saturated fat in high quantity (6.3%); Sugars in high quantity (22.2%); Salt in moderate quantity (0.772%),"refined wheat flour maida , sugar, refined palm oil, invert syrup, milk solids, raising agents ins  ii, ins i, lodized salt, nature identical flavouring substances, flour treatment agent ins , emulsifier diacetytartaric and fatty acid esters of glycerol from refined sunflower oil and palm oil, artificial flavouring substances milk, vanilla, mineral, colour ins d and vitamins",['e150d - sulphite ammonia caramel; e223 - sodium metabisulphite; e422 - glycerol; e500 - sodium carbonates; e500i - sodium carbonate; e503 - ammonium carbonates; e503ii - ammonium hydrogen carbonate'],Palm oil; Non-vegan; Vegetarian
DesertKing Dates - Lion - 250 g,8906006720183.0,Unknown,Lion,"Plant-based foods and beverages, Plant-based foods, Fruits and vegetables based foods, Fruits based foods, Fruits, Dates",Nutri-Score C,Average nutritional quality,NOVA 1,Unprocessed or minimally processed foods,Eco-Score C,Not Available,dates,,Palm oil free; Vegan; Vegetarian
Honey & Almond Body Lotion - DR.RASHEL,8906117253334.0,Unknown,DR.RASHEL,"Non food products, Open Beauty Facts",Nutri-Score not-applicable,Not-applicable for the category,NOVA 4,Ultra processed foods,Eco-Score not computed,Not Available,"dm water, light liquid paraffin, cetostearyl alcohol, glycerin, ceteareth , microcrystalline wax, dimethicone sodium lauryl ethyl sulphate, perfume, titanium dioxide almond oil, triethanolamine, carbopol, dmdm hydantoin, bht, honey extract, di sodium edta, vitamin e",['e321 - butylated hydroxytoluene; e422 - glycerol; e905 - synthetic wax; e905c - petroleum wax; e905ci - microcrystalline wax'],Palm oil content unknown; Non-vegan; Vegetarian status unknown
Fab! Bourbon - Parle,8901719123429.0,Unknown,Parle,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits",Nutri-Score E,Bad nutritional quality,NOVA 4,Ultra processed foods,Eco-Score C,Fat in moderate quantity (16.7%); Saturated fat in high quantity (8.2%); Sugars in high quantity (41.9%); Salt in low quantity (0.255%),"refined wheat flour maida, sugar, refined palm oil, cocoa solids , invert sugar syrup, raising agents ii,i, iodised salt and emulsifier of vegetable origin soy lecithin contains permitted natural colour d and added flavours artificial flavouring substances chocolate, vanilla including  as sprinkled sugar contains wheat and soy",['e150d - sulphite ammonia caramel; e322 - lecithins; e322i - lecithin; e500 - sodium carbonates; e503 - ammonium carbonates'],Palm oil; Vegan status unknown; Vegetarian status unknown
Chicken Masala - Priya - 100g,8904246930331.0,Unknown,Priya,"Plant-based foods and beverages, Plant-based foods, Condiments, Spices",Nutri-Score not-applicable,Not-applicable for the category,NOVA 1,Unprocessed or minimally processed foods,Eco-Score not computed,Fat in moderate quantity (13.9%); Saturated fat in low quantity (1.4%); Sugars in low quantity (1.7%); Salt in high quantity (6%),"coriander, red chillies, turmeric, lodized salt, dry curry leaves, black pepper, dry garlic, dry ginger, dry onion, mace, fennel, cassia bark taj, large cardamom and clove",,Palm oil content unknown; Vegan status unknown; Vegetarian
White Peas/Matar - Flipkart - 1kg,8904293723504.0,Unknown,Flipkart,"Plant-based foods and beverages, Plant-based foods, Legumes and their products, Legumes, Seeds, Legume seeds, Pulses, Peas",Nutri-Score unknown,Missing data to compute the Nutri-Score,NOVA not computed,Food processing level unknown,Eco-Score not computed,Not Available,white peas,,Palm oil content unknown; Vegan status unknown; Vegetarian
Bhelbhatta - Simla,8906086690413.0,Unknown,Simla,Snacks,Nutri-Score unknown,Missing data to compute the Nutri-Score,NOVA not computed,Food processing level unknown,Eco-Score not computed,Fat in high quantity (27.1%),"puffed rice murmura, chana besan, edible oil, lodised salt, turmeric powder, chilly powder, roasted poha, groundnuts roasted split gram, khobra, sugar, dried mango powder, chivda masala, chana dal, masur dal and other spices",,May contain palm oil; Vegan status unknown; Vegetarian
2201161,2201161.0,Unknown,Unknown,Kids,Nutri-Score E,Bad nutritional quality,NOVA 4,Ultra processed foods,Eco-Score not computed,Fat in low quantity (2.38%); Saturated fat in low quantity (0.0125%); Sugars in moderate quantity (11.8%); Salt in high quantity (258%),"sucrose, sugar, whey protein concentrate  , non dairy creamer, cocoa lecithinated cocoa powder, emulsifier ins , soy protein isolate   isolated soy protein, emulsifier ins i, dairy whitener, mineral premix  zinc sulphate, ferrous sulphate, sodium chloride, magnesium phosphate dibasic, potassium phosphate dibasic, tribasic calcium phosphate, diluent dextrose bulking agent maltodextrin, cocoa powder, natural flavouring substance chocolate and vanilla, salt, vitamin premix  ascorbic acid, bulking agent corn starch, vitamin a acetate, antioxidants tocoferol, solubalizer sorbitan oleate esters, vehicle vegetable oilcom oil, bulking agent ins , sugar, carrier ins , thiamine mononitrate, ergocalciferol, riboflavin, calcium pantothenate, pyridoxine hc, folic acid, cyanocobalamin, diluent dextre nature identical flavouring substance caramel  cream, natural colour ins  alticor inc",['e162 - beetroot red; e322 - lecithins; e343 - magnesium phosphates; e343ii - dimagnesium phosphate; e414 - acacia gum; e551 - silicon dioxide'],Palm oil content unknown; Non-vegan; Vegetarian status unknown
Polo - Nestle,89009871.0,Unknown,Nestle,"Snacks, Sweet snacks, Confectioneries, Candies",Nutri-Score unknown,Missing data to compute the Nutri-Score,NOVA 4,Ultra processed foods,Eco-Score C,Not Available,"sugar, edible starch, liquid glucose, anticaking agent i, natural flavour and natural flavouring substances",['e470 - sodium/potassium/calcium and magnesium salts of fatty acids'],Palm oil content unknown; Vegan status unknown; Vegetarian
Brown Hing Powder - Premia - 100g,8903363002563.0,Unknown,Premia,"Plant-based foods and beverages, Plant-based foods, Condiments, Spices, Asafoetida",Nutri-Score not-applicable,Not-applicable for the category,NOVA 1,Unprocessed or minimally processed foods,Eco-Score not computed,Fat in moderate quantity (3.9%); Saturated fat in low quantity (0.9%); Sugars in low quantity (1.9%); Salt in low quantity (0.0467%),"wheat flour  approx, gum arabica, asafoetida",,Palm oil content unknown; Vegan status unknown; Vegetarian
Lemon Juice - Fruitaco - 250ml,8564324165644.0,Unknown,Fruitaco,"Plant-based foods and beverages, Beverages, Plant-based beverages, Fruit-based beverages, Juices and nectars, Fruit juices, Lemon juice",Nutri-Score unknown,Missing data to compute the Nutri-Score,NOVA 1,Unprocessed or minimally processed foods,Eco-Score E,Fat in low quantity (0%); Sugars in moderate quantity (3.2%),"lemon juice , water , class ii preservative ins",['e224 - potassium metabisulphite'],Palm oil content unknown; Vegan status unknown; Vegetarian
Super T Milk - Mother Dairy - 1L,8901648923039.0,Unknown,Mother Dairy,Dairies,Nutri-Score C,Average nutritional quality,NOVA 1,Unprocessed or minimally processed foods,Eco-Score not computed,Fat in moderate quantity (4.6%); Saturated fat in moderate quantity (3.2%); Sugars in low quantity (4.8%); Salt in low quantity (0.138%),"standardised milk, vitamin a, vitamin d ergocalciferol",,Palm oil content unknown; Vegan status unknown; Vegetarian status unknown
Kaju Khajoor Cookies - Cremica - 100g,8906001385295.0,Unknown,Cremica,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits",Nutri-Score E,Bad nutritional quality,NOVA 4,Ultra processed foods,Eco-Score D,Fat in moderate quantity (19.6%); Saturated fat in high quantity (9.7%); Sugars in high quantity (25%); Salt in moderate quantity (0.938%),"wheat flour, sugar, edible vegetable oils palm, invert syrup, cashew nuts , butter, raising agents ins ii, ins ii, maize starch, edible common salt, dates , milk solids, permitted emulsifiers ins, ins  , stabilising agent insi, dough conditioner ins contains permitted natural colour insb and added flavours artificial flavouring substances  butter, milk vanilla and nature identical flavouring substancebutter contains wheat, milk, soya  sulphite as hypersensitive ingredients",['e160b - annatto; e223 - sodium metabisulphite; e322 - lecithins; e450 - diphosphates; e450i - disodium diphosphate; e471 - mono- and diglycerides of fatty acids; e500 - sodium carbonates; e500ii - sodium hydrogen carbonate; e503 - ammonium carbonates; e503ii - ammonium hydrogen carbonate'],Palm oil; Non-vegan; Vegetarian status unknown
CASHEWS - Vittal Balaji - 500g,710859306108.0,Unknown,Vittal Balaji,"Plant-based foods and beverages, Plant-based foods, Nuts and their products, Nuts, Cashew nuts",Nutri-Score unknown,Missing data to compute the Nutri-Score,NOVA 1,Unprocessed or minimally processed foods,Eco-Score D,Fat in high quantity (46%); Saturated fat in high quantity (9%); Sugars in moderate quantity (7%),cashew nuts,,Palm oil free; Vegan; Vegetarian
100% Pure Coconut Oil - Parachute,8901088136945.0,Coconut Oil,Parachute,"Plant-based foods and beverages, Plant-based foods, Fats, Vegetable fats, Vegetable oils, Fruit and fruit seed oils, Coconut oils",Nutri-Score E,Bad nutritional quality,NOVA 2,Processed culinary ingredients,Eco-Score not computed,Not Available,coconut oil,,Palm oil free; Vegan; Vegetarian
100% Atta Bread - Harvest Gold,8906020460676.0,Unknown,Harvest Gold,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads",Nutri-Score unknown,Missing data to compute the Nutri-Score,NOVA 4,Ultra processed foods,Eco-Score not computed,Not Available,"whole wheat flour atta , sugar, gluten, yeast, lodized salt, edible vegetable oit refined soybean oil, refined palmolein oil, milk solids, preservatives , , food color a, emulsifier e, acidity regulators , , antioxidant",['e150a - plain caramel; e200 - sorbic acid; e270 - lactic acid; e282 - calcium propionate; e300 - ascorbic acid; e341 - calcium phosphates; e472e - mono- and diacetyltartaric acid esters of mono- and diglycerides of fatty acids'],Palm oil; Non-vegan; Vegetarian
maharishi toothpaste - maharishi ayurveda,120822490299.0,Unknown,maharishi ayurveda,"Non food products, Open Beauty Facts, Toothpaste",Nutri-Score not-applicable,Not-applicable for the category,NOVA 4,Ultra processed foods,Eco-Score not computed,Not Available,"dicalcium phosphate dihydrate, sorbitol, glycerin, aqua, calcium carbonate, silica, mentha spicata herb oil, mentha piperita oil, quercus infectoria gall extract, terminalia chebula fruit extract, chondrus crisps extract, terminalia belerica fruit extract, emblica officinalis fruit extract, barleria prionitis extract, glycyrrhiza glabra root extract, piper longum fruit extract, albizzia lebbeck bark extract, zingiber officinale root extract, mimusops elengi bark extract, salvadora persica root extract, azadirachta indica bark extract, symplocos racemosa bark extract, sodium silicate, eugenia caryophyllus flower oil, acacia catechu bark extract, menthol, thymol, limonene, linalool, farnesol, isoeugenol from real essential oils natural ingredients not suitable for children under the age of six",['e420 - sorbitol; e422 - glycerol; e550 - sodium silicate'],Palm oil content unknown; Vegan status unknown; Vegetarian status unknown
